"Player Id","Property","Day","Player Name","Ad Impressions","Connatix Demand Revenue"
"005367c7-a12d-4d0d-82c4-2f9a2e2f07da","webcache.googleusercontent.com","21-NOV-2023","RmWeb Elements Desktop - Future Infeed ",0,0.00
"005367c7-a12d-4d0d-82c4-2f9a2e2f07da","webcache.googleusercontent.com","23-NOV-2023","RmWeb Elements Desktop - Future Infeed ",0,0.00
"005367c7-a12d-4d0d-82c4-2f9a2e2f07da","www-rmweb-co-uk.translate.goog","14-NOV-2023","RmWeb Elements Desktop - Future Infeed ",0,0.00
"005367c7-a12d-4d0d-82c4-2f9a2e2f07da","www-rmweb-co-uk.translate.goog","18-NOV-2023","RmWeb Elements Desktop - Future Infeed ",0,0.00
"005367c7-a12d-4d0d-82c4-2f9a2e2f07da","www-rmweb-co-uk.translate.goog","19-NOV-2023","RmWeb Elements Desktop - Future Infeed ",0,0.00
"005367c7-a12d-4d0d-82c4-2f9a2e2f07da","www-rmweb-co-uk.translate.goog","20-NOV-2023","RmWeb Elements Desktop - Future Infeed ",0,0.00
"005367c7-a12d-4d0d-82c4-2f9a2e2f07da","www-rmweb-co-uk.translate.goog","21-NOV-2023","RmWeb Elements Desktop - Future Infeed ",0,0.00
"005367c7-a12d-4d0d-82c4-2f9a2e2f07da","www-rmweb-co-uk.translate.goog","22-NOV-2023","RmWeb Elements Desktop - Future Infeed ",0,0.00
"005367c7-a12d-4d0d-82c4-2f9a2e2f07da","www-rmweb-co-uk.translate.goog","24-NOV-2023","RmWeb Elements Desktop - Future Infeed ",0,0.00
"005367c7-a12d-4d0d-82c4-2f9a2e2f07da","www-rmweb-co-uk.translate.goog","28-NOV-2023","RmWeb Elements Desktop - Future Infeed ",0,0.00
"005367c7-a12d-4d0d-82c4-2f9a2e2f07da","www-rmweb-co-uk.translate.goog","30-NOV-2023","RmWeb Elements Desktop - Future Infeed ",0,0.00
"005367c7-a12d-4d0d-82c4-2f9a2e2f07da","www-rmweb-co-uk.translate.goog","02-DEC-2023","RmWeb Elements Desktop - Future Infeed ",0,0.00
"005367c7-a12d-4d0d-82c4-2f9a2e2f07da","www-rmweb-co-uk.translate.goog","05-DEC-2023","RmWeb Elements Desktop - Future Infeed ",0,0.00
